input,category
https://www.abelsierramadero.com/,OTHER
http://primariaexteriorve.com/,OTHER
http://www.diarioaccion.com.ar/,NEWS
http://www.malware.com,OTHER
https://surbitcoin.com/,OTHER
http://www.wikispaces.com,OTHER
http://extratorrent.cc,"FILE, ANON"
https://vamosganar.com/,OTHER
http://www.cencoex.gob.ve/,GOVT
http://www.topcities.com,OTHER
http://www.atimes.com/,OTHER
https://www.radiomaria.org.ni/,OTHER
https://cdninstagram.com/,GRP
http://www.religioustolerance.org,OTHER
https://thepiratebay.se,OTHER
https://alpha66.org/,OTHER
http://asodenic.org.ni/,OTHER
https://apen.org.ni/,OTHER
http://www.agendadelasmujeres.com.ar/,OTHER
https://azurewebsites.net,OTHER
http://www.elmundo.com.ve,OTHER
http://www.topcities.com/,OTHER
http://www.kazaa.com,OTHER
https://mariacorinamundo.com/,OTHER
https://miscelaneasdecuba.net/,OTHER
https://example.domain.com/,OTHER
http://www.diariouno.net.ar/,NEWS
http://www.metacafe.com,OTHER
http://www.fgmnetwork.org,OTHER
https://w3.ibm.com/developer/hacktoberfest/,OTHER
http://www.diarioextra.com.ar/,NEWS
https://www.mariacorinapresidente.com/,OTHER
http://diariodecaracas.com/,NEWS
https://cloudapp.net,OTHER
http://cantv.net/,OTHER
http://www.serpaj.org/,OTHER
http://www.mapuchenative.com/,OTHER
http://www.allactionhost.com/es-ni/web-hosting,HOST
https://www.miscelaneasdecuba.net/,OTHER
https://puntos.org.ni/,OTHER
https://pelisplus.me/,OTHER
http://www.consensocubano.org/,OTHER
https://tvhd.pe/,OTHER
http://check.googlezip.net/,SRCH
https://www.alpha66.org/,OTHER
http://en-ville.orange.fr/,OTHER
https://d3l0kqj5h9z9zs.cloudfront.net/,OTHER
https://primariaexteriorve.com/,OTHER
https://extratorrent.cc/,"FILE, ANON"
http://miscelaneasdecuba.net/,OTHER
https://pwchyt.awsvpni.com/,ANON
http://partidounnuevotiempo.org/,OTHER
http://bloquedearmas.com,OTHER
https://premiumhentaiclub.co/,OTHER
https://ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,OTHER
http://shareaza.com/,OTHER
http://notiviasve.com/,OTHER
https://archivos.domain.com/,OTHER
http://www.cne.gob.ve/,GOVT
https://comanditos.com/,OTHER
http://www.serpaj.org,OTHER
http://alpha66.org/,OTHER
https://blob.core.windows.net/,OTHER
http://check.googlezip.net/connect/,SRCH
http://www.frmt.org/,OTHER
http://clarin.com.ar/,OTHER
http://www.sedem.org.gt/,OTHER
https:911truth.org/,OTHER
https://vocesenlibertad.com/,OTHER
http://docs.domain.com/,OTHER
https://grupovenancia.org/,OTHER
http://www.asstr.org/,OTHER
http://www.miscelaneasdecuba.net/,OTHER
http://caminic.com/,OTHER
http://www.cubamemorial.net/,OTHER
http://www.alpha66.org/,OTHER
