measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250108173622.483169_JM_webconnectivity_2b01f7cafba1965d,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108173556.714499_JM_webconnectivity_ec8c7e791682abf8,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108173551.457358_JM_webconnectivity_277d7e949b741c05,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108173238.223138_JM_webconnectivity_38960d750166b63c,None,eof_error,inconsistent,False,AS137409,83.219.96.146,200,208.83.242.49,"{'blocked': False, 'failure': None, 'success': True}"
20250108170612.662595_JM_webconnectivity_bfc01e577b94be10,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108165056.469976_JM_webconnectivity_f8e5a4c1a1cd4e13,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108165038.240496_JM_webconnectivity_f85379098e7f0d56,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108165036.435918_JM_webconnectivity_d66f5f52c5a7f0ee,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108165034.958076_JM_webconnectivity_44a4d70e83c46727,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108165033.635871_JM_webconnectivity_6a216d2cc194bbc1,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108165015.878908_JM_webconnectivity_8fc71fd56559fab7,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108164849.105535_JM_webconnectivity_8b33e9b7cbe4d11b,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108164232.080121_JM_webconnectivity_6b5a88678cfd278b,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108164228.086578_JM_webconnectivity_0da970556a4033f9,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108153219.682125_JM_webconnectivity_ca0a7ad1f339e6d2,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108153144.923237_JM_webconnectivity_2c434368cce37f5b,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145237.861823_JM_webconnectivity_007006c23457d06d,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145236.032294_JM_webconnectivity_b159c382e4d9c986,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145234.651854_JM_webconnectivity_b7b8081c3e5abc6d,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145232.801395_JM_webconnectivity_f9dbfcdc560d1c36,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145231.885274_JM_webconnectivity_a8ff52c1247aa68a,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145230.874946_JM_webconnectivity_4a614ff40bfcdd79,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145229.302606_JM_webconnectivity_675ce1cb9323c342,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145228.259374_JM_webconnectivity_ad20e72074252049,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145226.341874_JM_webconnectivity_43d43a0f562efa63,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145224.875181_JM_webconnectivity_a28af86f0915a8bd,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145222.817591_JM_webconnectivity_48c4195d6bf7fee2,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145221.633482_JM_webconnectivity_5c1cf3e04d103105,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145219.687740_JM_webconnectivity_bfec95f0cce0c035,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145217.701435_JM_webconnectivity_0b85a0933ce4d46f,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145215.780736_JM_webconnectivity_e50325b619730cf3,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145209.794130_JM_webconnectivity_c5a3727264e71f36,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145208.174526_JM_webconnectivity_b91f25e25f72e038,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145207.141120_JM_webconnectivity_25c97c857776c1a3,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145206.176548_JM_webconnectivity_d5384a8af1dda9ce,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145204.961200_JM_webconnectivity_9c76be60feb5678f,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145150.252175_JM_webconnectivity_0b40c1033c0a0742,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145101.942627_JM_webconnectivity_7e3188c04e6dc66b,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145100.488116_JM_webconnectivity_7aa968216bfb90bf,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145058.882865_JM_webconnectivity_a95343fb297adbf4,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145057.455671_JM_webconnectivity_3a4965578d337cc2,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145056.237229_JM_webconnectivity_f7d6f50f8b1c263d,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145028.905734_JM_webconnectivity_7e792790bcff7b49,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145027.737378_JM_webconnectivity_4898c46b1d059f78,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108145026.692279_JM_webconnectivity_765e48bf98f14677,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108144933.781622_JM_webconnectivity_f6195559b3746a17,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108144531.212772_JM_webconnectivity_d13a17c5f473c619,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108144519.070060_JM_webconnectivity_e5e3b5a2702d9cbd,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108144511.697714_JM_webconnectivity_b9a4abf1a0d907dd,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108144506.686602_JM_webconnectivity_b0f7e9e329119397,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108144055.085263_JM_webconnectivity_8d65fd1f1a7cb975,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108144053.744783_JM_webconnectivity_bfa786b403fbe094,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108143944.188970_JM_webconnectivity_5c52e5d9a8add071,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108143609.445424_JM_webconnectivity_9ed1ec61d87f58ee,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,200,None,None
20250108143335.432693_JM_webconnectivity_0b0acd0458269ada,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108143237.471614_JM_webconnectivity_9f3e41a6abfa69df,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108143236.447133_JM_webconnectivity_54b2bce76efb08c8,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108143235.167176_JM_webconnectivity_31a1ca83fb993a1f,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108142933.155270_JM_webconnectivity_b7a0c07b48c972e5,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
20250108142347.535767_JM_webconnectivity_b77f4205995c55bb,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.146,-1,None,None
